Name,Description,Units,Yearly,Monthly,Daily,PFT,Compartments,Layers,Data Type,Placeholder
ALD,Soil active layer depth,m,y,invalid,invalid,invalid,invalid,invalid,double,
AVLN,Total soil available N,g N/m2,y,,invalid,invalid,invalid,l,double,
BURNAIR2SOIN,Nitrogen deposit from fire emission,g N/m2/time,y,,invalid,invalid,invalid,invalid,double,
BURNSOIC,Burned soil C,g C/m2/time,y,,invalid,invalid,invalid,invalid,double,
BURNSOILN,Burned soil N,g N/m2/time,y,,invalid,invalid,invalid,invalid,double,
BURNTHICK,Ground burn thickness ,m,y,,invalid,invalid,invalid,invalid,double,
BURNVEG2AIRC,Burned vegetation C to atmosphere,g C/m2/time,y,,invalid,invalid,invalid,invalid,double,
BURNVEG2AIRN,Burned vegetation N to atmosphere,g N/m2/time,y,,invalid,invalid,invalid,invalid,double,
BURNVEG2DEADC,Burned vegetation C to standing dead C,g C/m2/time,y,,invalid,invalid,invalid,invalid,double,
BURNVEG2DEADN,Burned vegetation N to standing dead N,g N/m2/time,y,,invalid,invalid,invalid,invalid,double,
BURNVEG2SOIABVC,Burned vegetation C to soil above,g C/m2/time,y,,invalid,invalid,invalid,invalid,double,
BURNVEG2SOIABVN,Burned vegetation N to soil above,g N/m2/time,y,,invalid,invalid,invalid,invalid,double,
BURNVEG2SOIBLWC,Burned vegetation C to soil below,g C/m2/time,y,,invalid,invalid,invalid,invalid,double,
BURNVEG2SOIBLWN,Burned vegetation N to soil below,g N/m2/time,y,,invalid,invalid,invalid,invalid,double,
DEADC,Standing dead C,g C/m2/time,y,,invalid,invalid,invalid,invalid,double,
DEADN,Standing dead N,g N/m2/time,y,,invalid,invalid,invalid,invalid,double,
DEEPC,Amorphous SOM C,g C/m2,y,,invalid,invalid,invalid,invalid,double,
DEEPDZ,Amorphous SOM layer thickness,m,y,invalid,invalid,invalid,invalid,invalid,double,
DRIVINGNIRR,Input driving NIRR,W/m2,invalid,invalid,,invalid,invalid,invalid,float,
DRIVINGRAINFALL,Input driving precip data after being split from snowfall,mm,invalid,invalid,,invalid,invalid,invalid,float,
DRIVINGSNOWFALL,Input driving precip data after being split from rainfall,mm,invalid,invalid,,invalid,invalid,invalid,float,
DRIVINGTAIR,Input driving air temperature data,degree_C,invalid,invalid,,invalid,invalid,invalid,float,
DRIVINGVAPO,Input driving vapor pressure,hPa,invalid,invalid,,invalid,invalid,invalid,float,
DWDC,Dead woody debris C,g C/m2/time,y,,invalid,invalid,invalid,invalid,double,
DWDN,Dead woody debris N,g N/m2/time,y,,invalid,invalid,invalid,invalid,double,
